protein,G10_2,G10_3,G11_2,G11_3,G12_2,G12_3,G13_2,G13_3,G16_2,G16_3,G17_2,G17_3,G18_2,G18_3,G19_2,G19_3,G20,G20_2,G21,G21_2,G22,G22_2,G23,G23_2,G26,G26_2,G27,G27_2,G28,G28_2,G29,G29_2,G32,G32_2,G33,G33_2,G34,G34_2,G35,G35_2,G4_2,G4_3,G5_2,G5_3,G6_2,G6_3,G7_2,G7_3,SumNSAFpH7.1,SumNSAFpH7.5,clusterpH7.1,clusterpH7.5,uniprotID
TRINITY_DN100057_c0_g1::TRINITY_DN100057_c0_g1_i1::g.40724::m.40724,10.4793,10.7341,3.383,6.9297,10.479,10.7841,7.1826,7.494,3.4318,3.3708,13.3912,10.1316,9.937,10.1602,9.9414,13.6423,3.368,3.4041,3.5016,3.4978,7.8161,7.858,6.8352,6.9049,6.7923,6.8296,0,7.0853,0,0,6.7629,6.7136,11.1481,10.9478,7.3598,10.9396,3.7414,7.3432,10.7631,7.451,10.398,10.4255,7.0679,6.9841,3.5593,11.0629,3.3246,3.4425,166.3641,168.0994,1,1,A0A0B7B9N1
TRINITY_DN100112_c0_g1::TRINITY_DN100112_c0_g1_i1::g.40618::m.40618,0,0,0,0,0,7.5948,0,0,0,0,0,0,0,0,0,0,7.1159,0,7.3982,0,0,0,0,0,7.1753,14.4294,7.3919,0,15.5531,23.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.3999,36.1125,32,35,K1PRD3
TRINITY_DN100117_c0_g1::TRINITY_DN100117_c0_g1_i1::g.40605::m.40605,11.4803,11.7593,5.5592,5.6937,11.4799,5.9071,5.9015,0,0,0,11.0027,5.5497,5.4431,5.5653,5.4455,5.6045,5.5346,0,5.7542,11.4958,6.422,0,11.2322,0,5.5808,0,0,0,6.0484,6.0283,5.5566,5.5161,6.1065,5.9968,24.1883,11.9845,6.1481,12.067,11.7912,6.122,17.0867,5.7106,5.8073,11.4768,17.5469,12.1196,5.4632,5.657,151.8333,162.0136,1,1,A0A2C9JT27
TRINITY_DN100188_c0_g1::TRINITY_DN100188_c0_g1_i1::g.40600::m.40600,5.9851,6.1306,11.5931,5.9367,5.985,6.1592,6.1534,6.4202,5.8801,5.7756,5.7362,5.7866,11.3509,5.8029,5.6779,5.8437,5.7708,11.6654,11.9995,0,6.6961,0,5.8558,5.9155,0,5.8509,0,6.0701,0,6.2856,5.7938,5.7516,0,0,0,0,6.4105,0,0,0,11.8773,5.9544,6.0551,5.9833,12.1972,6.3185,17.0892,11.797,137.6482,112.0513,1,1,A0A210PPY3
TRINITY_DN100259_c0_g1::TRINITY_DN100259_c0_g1_i1::g.40012::m.40012,0,6.2063,0,0,6.0588,0,0,0,0,5.8469,5.807,0,0,5.8745,5.748,0,0,5.9047,0,0,0,6.8151,0,0,0,0,0,0,0,0,0,5.8226,0,6.3299,0,0,0,0,0,6.4621,12.024,6.0279,6.1299,6.0572,0,6.3965,0,5.9713,49.1489,60.3338,8,6,A0A210PI02
TRINITY_DN100261_c0_g1::TRINITY_DN100261_c0_g1_i1::g.40034::m.40034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2984,8.3439,0,0,0,8.9638,8.2624,0,0,0,8.9918,0,0,0,8.7665,0,0,0,0,0,0,0,0,0,25.9927,25.6341,32,10,A0A1V1ST81
TRINITY_DN100267_c0_g1::TRINITY_DN100267_c0_g1_i1::g.40035::m.40035,50.6613,45.4062,24.5324,37.6886,37.9948,32.5843,32.5533,40.7578,31.1075,36.6658,30.3462,36.7353,36.0298,24.5592,30.0381,18.5491,24.4236,30.8569,19.0444,31.7062,35.4247,21.3687,30.979,18.7768,12.3137,12.3813,25.371,19.2675,40.0366,26.6023,18.3906,30.4277,13.4736,19.8474,26.6852,33.054,20.3483,13.3126,45.5291,27.0158,18.8505,18.9004,32.0336,31.6536,32.2636,13.3707,12.0543,31.205,639.1932,643.9618,2,11,NA
TRINITY_DN100277_c0_g1::TRINITY_DN100277_c0_g1_i1::g.40013::m.40013,21.9344,22.4676,21.2431,21.7569,21.9337,16.9293,33.8263,11.7643,16.162,10.5833,10.511,5.3016,15.5995,5.3166,10.4043,10.708,21.149,10.6879,21.988,10.982,12.27,12.3357,21.4603,10.8395,26.6569,10.7213,21.9693,11.1228,11.5562,5.7589,15.9248,15.8088,5.8336,17.1863,11.5537,11.4489,17.62,11.5276,16.8963,5.8484,16.323,16.3663,5.5477,21.9277,16.7626,11.578,26.0952,16.2127,333.5167,349.4363,2,11,A0A210QBS7
TRINITY_DN100330_c0_g1::TRINITY_DN100330_c0_g1_i1::g.40429::m.40429,7.7902,0,15.0894,7.7272,0,8.0168,8.0091,16.7128,22.9603,15.0349,14.9323,15.0634,7.3871,15.1059,7.3903,15.2122,7.5112,15.1835,15.6184,23.4022,17.4312,0,22.8655,15.399,15.1479,15.231,15.6052,15.8014,16.4171,16.3625,0,0,8.2873,8.1385,16.4135,24.397,16.6878,8.1883,8.0011,8.3084,7.7297,7.7502,15.7626,7.7878,23.8136,16.4481,22.243,15.3548,262.4891,302.7467,2,1,A0A210R4Z2
TRINITY_DN100339_c0_g1::TRINITY_DN100339_c0_g1_i1::g.40432::m.40432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6513,0,0,0,0,0,0,0,0,6.9295,0,0,0,0,0,0,0,0,14.9172,0,7.3861,0,7.5095,0,7.201,14.9551,0,0,0,0,0,0,0,0,43.2464,22.3033,1,16,A0A1B6KWB0
